PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
Victor Oladipo,OKC,25,67,39,28,33.2,104.5,102.1,2.5,12.2,1.48,13.6,1.9,12.3,7.2,9.2,51,53.4,21.3,101.1,9.5
Joe Johnson,UTA,36,78,47,31,23.6,108.4,104.3,4.2,12.5,2.09,16.5,2.2,12.9,7.7,7.9,52.1,54.2,18.6,93.26,9.5
Alex Len,PHX,24,77,21,56,20.3,99.4,110.5,-11.1,4.3,0.43,6.3,10.4,25.1,17.5,14.6,50,55.3,17.6,103.52,9.5
Devin Harris,DAL,34,65,29,36,16.7,105.5,103.4,2.1,19.7,2.39,23,1.1,12.6,6.7,9.6,48.4,54.9,19.4,95.46,9.5
Tyler Ulis,PHX,21,61,15,46,18.4,101.8,108.3,-6.5,29.7,2.94,29.3,1.8,7.3,4.5,10,44.5,47.4,20.2,103.45,9.5
Andrew Wiggins,MIN,22,82,31,51,37.2,109.8,110.4,-0.5,10.4,1.01,8.7,3.9,8.7,6.3,8.6,48.4,53.4,28.8,97.56,9.5
Zach LaVine,MIN,22,47,16,31,37.2,106.5,110.1,-3.6,12.8,1.64,14,1.2,9.8,5.3,8.5,54.4,57.6,21.8,96.38,9.5
Kevin Seraphin,IND,27,49,23,26,11.4,101.1,111,-9.9,6.9,0.79,8.9,7.9,20.2,13.9,11.2,55.1,55.9,18.9,96.87,9.5
Bruno Caboclo,TOR,21,9,8,1,4.5,97.5,91.2,6.2,15.4,2,18.2,10.9,13.9,12.2,9.1,43.8,43.8,19.2,95.38,9.4
Joakim Noah,NYK,32,46,17,29,22.1,105,111,-6,13.8,1.78,25.9,16.2,25.6,20.8,14.6,49,49.1,12.5,98.45,9.4
Shabazz Muhammad,MIN,24,78,29,49,19.4,105.3,106.8,-1.5,3.8,0.63,4.5,6.3,10.9,8.5,7.2,52.3,56.6,21.4,97.93,9.4
Anthony Bennett,BKN,24,23,3,20,11.5,107.5,118.1,-10.6,7.5,1,9.1,10.4,20.7,15.7,9.1,48.4,53.3,19.1,104.03,9.4
Sergio Rodriguez,PHI,31,68,24,44,22.3,100.7,106,-5.3,34.9,2.69,33.7,1.5,10.1,5.8,12.6,47.8,48.4,19.4,99.81,9.4
Joffrey Lauvergne,CHI,25,70,41,29,14,102.2,107.8,-5.6,11,1.25,14.2,8.2,20.5,14.3,11.3,49,50.9,18.8,98.86,9.4
Shabazz Napier,POR,25,53,26,27,9.7,109.8,107.1,2.7,20,1.63,21.4,1.9,12.2,7.2,13.1,49.2,53.3,22.4,95.63,9.4
JaMychal Green,MEM,27,77,40,37,27.3,104.8,104.4,0.4,6.4,0.89,11.2,9.1,21.2,15,12.5,55.5,60.1,14.7,94.31,9.3
Tony Parker,SAS,35,63,46,17,25.2,108,102.6,5.4,27.6,3.2,28.7,0.7,7.2,4.1,8.9,48.6,51.4,20.7,93.94,9.3
Christian Wood,CHA,21,13,5,8,8.2,103.1,97.6,5.5,3.1,0.29,5.2,14.9,14.3,14.6,18.1,52.2,59.1,15.3,94.08,9.3
Kosta Koufos,SAC,28,71,27,44,20,102,107.7,-5.7,5.3,0.77,8.9,9.5,22.3,16,11.6,55.1,56,15.4,96.17,9.3
Michael Kidd-Gilchrist,CHA,23,81,36,45,29,105.4,103.8,1.6,7.4,2.04,13.1,7.1,19.4,13.1,6.4,47.8,52.8,14.6,97.79,9.3
Justin Holiday,NYK,28,82,31,51,20,103.4,105,-1.7,9.5,1.55,13.8,1.8,13,7.4,8.9,52.3,54.9,16.9,98.65,9.2
Justin Hamilton,BKN,27,64,14,50,18.4,98.2,109.5,-11.3,7.4,1.28,11,6.2,17.2,11.6,8.6,53.2,55,16.2,103.44,9.2
Andrew Bogut,CLE,32,27,8,19,21.6,95.7,97.4,-1.7,13.3,1.14,27.6,10.3,32,20.7,24.2,46.9,46,10.6,93.14,9.2
Ian Clark,GSW,26,77,63,14,14.8,106.1,103,3.1,12.2,1.64,14.9,2.3,9,5.8,9.1,55.8,57.5,19.8,100.62,9.2
John Henson,MIL,26,58,26,32,19.4,105.2,107,-1.8,7.6,1.1,12.3,9.3,20.2,14.8,11.2,51.5,55,16.4,96.69,9.2
Al-Farouq Aminu,POR,26,61,33,28,29.1,107.7,105.9,1.8,8.2,1.05,13.8,4.9,23.2,14.1,13.1,46.8,50.6,15.8,98.38,9.2
Reggie Jackson,DET,27,52,23,29,27.4,101.7,110.5,-8.8,30.6,2.37,24.1,1.5,7.7,4.3,10.2,46.8,51,26.4,96.85,9.2
Gorgui Dieng,MIN,27,82,31,51,32.4,108.3,108.2,0.2,8.6,1.48,15.8,8.2,20.2,14.2,10.7,51.4,55.5,14.1,96.76,9.2
Gary Harris,DEN,22,57,29,28,31.3,115,114,1,12.9,2.16,17.5,3.1,8.3,5.7,8.1,58.6,61.1,18.5,100.41,9.1
Robert Covington,PHI,26,67,27,40,31.6,99.8,103.3,-3.5,7.5,0.78,9.8,4.7,17.7,11.2,12.6,49.2,53.4,19,101.81,9.1
Terry Rozier,BOS,23,74,47,27,17.1,102.2,102.5,-0.2,16.4,2.79,21.2,3.4,16.2,9.8,7.6,43.7,46.6,17.2,98.27,9.1
TJ Warren,PHX,23,66,20,46,31,105.2,112,-6.8,5.6,1.32,7.4,6.4,11.6,8.9,5.6,51.1,53.9,19,103.67,9.1
Justin Anderson,PHI,23,75,24,51,16.4,101.8,108.3,-6.6,8.9,1,10.5,6,17.3,11.3,10.5,49,53.7,20.6,97.35,9.1
Bojan Bogdanovic,WAS,28,81,23,58,25.7,103.3,110.2,-7,8.6,0.85,9.3,2,12.4,7.3,11,53,58.5,22.4,102.76,9.1
Amir Johnson,BOS,30,80,51,29,20.1,111.4,103.4,8,12.5,1.82,22.2,8.4,16.9,12.7,12.2,61.2,62.8,13.8,97.94,9.1
Joe Ingles,UTA,29,82,51,31,24.1,109.4,104.6,4.8,16.8,2.1,27.7,1.4,13.9,7.8,13.2,58.9,60.4,13.9,94.04,8.9
Cory Joseph,TOR,25,80,49,31,25,108.7,106.8,2,20,2.45,24.4,2.9,10.4,6.6,9.9,48.9,51.8,18.3,97.43,8.9
Lance Stephenson,IND,26,18,8,10,20.1,101.3,99.8,1.6,25.4,2.27,28,1.2,14.9,7.9,12.3,47.5,48.5,18.5,97.76,8.9
Tristan Thompson,CLE,26,78,50,28,30,110.6,107.7,2.9,4.6,1.2,11.5,13.5,19.6,16.6,9.5,60,59.4,11.2,98.28,8.9
Luis Scola,BKN,37,36,7,29,12.8,102.9,111,-8,12.4,1.09,15.5,11.4,21.3,16.2,14.3,52.6,55,18.5,102.58,8.9
Devin Booker,PHX,20,78,24,54,35,105.6,110,-4.4,16,1.11,12.6,1.8,8.2,4.9,11.3,47.5,53.1,28.4,103.62,8.9
Brandon Jennings,WAS,27,81,37,44,22.2,105.1,108.1,-3,30.8,3.09,35.1,1.8,10,5.9,11.4,43.3,47.9,17.5,99.85,8.9
JJ Redick,LAC,33,78,50,28,28.2,114.6,105,9.7,7.4,1.12,9.3,0.6,7.8,4.4,8.3,55.8,59.9,21.7,98.78,8.9
Markieff Morris,WAS,27,76,45,31,31.2,109.4,105.5,3.9,7.6,0.98,10.2,5.1,18,11.7,10.4,49.7,54,20.4,100.12,8.9
Aaron Gordon,ORL,21,80,29,51,28.7,105.4,108.2,-2.8,9.7,1.69,12.5,5.4,14.1,9.6,7.4,49.9,53,20,99.7,8.8
Marco Belinelli,CHA,31,74,34,40,24,107.2,107.4,-0.1,13.1,2.1,16.2,0.9,10.4,5.6,7.7,51.2,56.6,19.3,97.98,8.8
Evan Turner,POR,28,65,34,31,25.5,103,107.4,-4.5,19.6,2.05,22.7,2.4,14.4,8.2,11.1,45.4,49.1,18.6,99.29,8.8
Alexis Ajinca,NOP,29,39,15,24,15,100.5,105.3,-4.7,3.1,0.39,5,8.4,22.5,15.7,13,50,52.9,17.1,100.43,8.8
Brandon Knight,PHX,25,54,16,38,21.1,98.8,110.9,-12.1,19.4,1.48,16,2.3,9.4,5.7,10.9,44.1,50.2,25.3,102.73,8.8
Pat Connaughton,POR,24,39,18,21,8.1,103.9,109.1,-5.2,13.7,1.65,23.1,3.6,14.4,9.1,14.1,63.2,64.5,13.2,95.99,8.8
Jason Smith,WAS,31,74,45,29,14.4,106.1,106.8,-0.7,5.2,0.64,8.3,7.1,20.3,13.9,13,58.5,59.8,16.9,98.72,8.7
Joel Anthony,SAS,34,19,15,4,6.4,92.2,99.5,-7.3,4.1,0.75,11.3,6.8,19,13,15.1,62.5,64,8.8,95.12,8.7
Spencer Dinwiddie,BKN,24,59,13,46,22.6,101.4,106.3,-4.9,21,2.8,29.7,2.2,10.9,6.6,10.6,50.7,58.1,14.4,101.2,8.7
Alec Burks,UTA,25,42,26,16,15.5,105,104.9,0.1,7.4,0.86,8.6,2.9,18,10.3,10.1,45,50.1,21.9,95.94,8.7
Manu Ginobili,SAS,39,69,51,18,18.7,111,100.6,10.4,19.9,1.91,23.9,2.5,11.3,6.9,12.5,49.1,53.2,19.5,100.94,8.7
Bismack Biyombo,ORL,24,81,29,52,22.1,98.8,108.2,-9.4,6.5,0.78,12.1,9.4,25.6,17.3,15.5,52.8,54.6,13.5,96.83,8.7
Joe Young,IND,25,33,18,15,4.1,86.4,112.5,-26.1,20.3,3,15.2,0.7,13.3,6.3,5.1,39.6,43.3,26,99.86,8.7
Norman Powell,TOR,24,76,47,29,18,109.1,105.4,3.7,9.4,1.17,11.3,2.2,12,7.2,9.6,50.4,55.2,21.2,97.93,8.7
Sam Dekker,HOU,23,77,52,25,18.4,109,106.2,2.8,7.9,1.85,13.2,7.3,14.5,10.9,7.1,54.3,54.9,15,102.25,8.7
Jordan Farmar,SAC,30,2,1,1,17.7,114.5,120.9,-6.4,34.6,3,37.5,3.8,6.1,5.1,12.5,50,50,19.1,96.3,8.7
Thabo Sefolosha,ATL,33,62,32,30,25.7,102.8,103.3,-0.5,9.9,1.84,18,3.8,14.8,9.4,9.8,49.2,51.9,13.4,99.53,8.6
Caris LeVert,BKN,22,57,15,42,21.7,104.9,107.6,-2.7,13.2,1.86,18.6,2,14.1,8.1,10,52.8,55.6,16.4,104.52,8.6
CJ Miles,IND,30,76,39,37,23.4,106.9,106,0.8,4.1,1.2,6.2,1.9,12.9,7.3,5.2,56.5,59.2,18.3,97.81,8.6
Malik Beasley,DEN,20,22,12,10,7.5,111,96,15,9.8,1.38,11.4,3.6,7.2,5.6,8.3,51.4,53.6,22.2,103.72,8.6
Juan Hernangomez,DEN,21,62,30,32,13.6,107.7,111.3,-3.6,4.8,0.94,9.1,5.5,18.9,12.1,9.8,55.4,59.2,14.4,101.04,8.6
Rodney Hood,UTA,24,59,40,19,27,106.7,102.6,4.2,10.2,1.48,10.9,1.2,13,7.4,7.4,49.4,52.2,23.1,93.25,8.6
Patrick Beverley,HOU,28,67,46,21,30.7,113.3,106,7.3,18.4,2.81,29.1,5,15.9,10.4,10.4,52.1,54.6,14.1,101.61,8.5
Aron Baynes,DET,30,75,34,41,15.5,103.7,98.5,5.2,3.9,0.64,8,10.8,20.6,15.8,12.4,51.3,57,14.3,97.23,8.5
Frank Kaminsky,CHA,24,75,31,44,26.1,108.3,107.3,0.9,13.1,2.13,14.6,3.3,15.8,9.6,6.9,47.1,50.2,22,98.15,8.5
Chris McCullough,WAS,22,16,1,15,5,122.2,95.4,26.8,3.6,0.67,5.1,12.9,12.3,12.6,7.7,51.6,52.6,19.8,100.2,8.5
Trevor Ariza,HOU,32,80,53,27,34.7,112.9,107.1,5.7,8.8,2.4,15.9,2.1,16.2,9.1,6.6,52.8,54.8,14.1,102.78,8.5
Kevon Looney,GSW,21,53,44,9,8.4,102.7,102.5,0.2,9.4,1.71,17.3,10.7,18.9,14.9,10.1,53.3,55.3,13.3,101.44,8.5
Tyler Zeller,BOS,27,51,32,19,10.3,104.5,104.4,0.2,12.5,2.1,17.7,8.8,16.7,12.7,8.4,49.4,50.8,16.4,99.46,8.5
Lucas Nogueira,TOR,24,57,34,23,19.1,112.6,102.8,9.8,5.3,0.91,15.4,8.4,15.8,12.2,16.8,67,68.2,9.5,97.57,8.5
Evan Fournier,ORL,24,68,23,45,32.8,102.2,107.1,-4.9,14.4,1.43,14.5,2.1,8.1,5,10.1,50.8,55.5,23.3,99.6,8.5
Tarik Black,LAL,25,67,24,43,16.3,103.6,105.5,-1.9,5.2,0.67,8.9,13.8,20.2,16.9,13.2,51.2,56,15.4,100.72,8.5
Jordan Clarkson,LAL,25,82,26,56,29.2,103,112,-8.9,14.3,1.3,14,2.2,9.3,5.7,10.8,50,52.6,23.2,101.34,8.4
Jerian Grant,CHI,24,63,29,34,16.3,106.4,103.8,2.6,17.2,2.75,24.3,1.8,10,5.9,8.8,50.7,55.5,16.3,97,8.4
Tim Frazier,NOP,26,65,26,39,23.5,103.8,106.8,-3,31.2,3.32,37.4,2.3,9.7,6,11.3,45.3,50.4,16.3,99.84,8.4
Mike Miller,DEN,37,20,9,11,7.5,105.5,108.7,-3.3,19.5,1.69,37.4,1.6,26.1,14.6,22.1,56.5,58.6,10.4,103.18,8.4
Chasson Randle,NYK,24,26,8,18,11.5,106.2,109.6,-3.4,17.3,1.79,20,2.2,9.7,6,11.2,49,58.6,19.7,98.49,8.4
Buddy Hield,SAC,23,82,31,51,23,102,107.5,-5.5,10.1,1.2,11.8,2,13.4,7.7,9.9,52.3,54.1,21.4,98.9,8.4
Yogi Ferrell,DAL,24,46,18,28,26,104.2,108.3,-4.1,23.2,2.46,25.5,1.8,9.1,5.3,10.4,49.2,53.3,19.6,95.91,8.4
Quincy Acy,BKN,26,38,11,27,14.7,102.1,106.9,-4.7,5.3,0.86,7.6,4.1,19.2,11.7,8.9,52.1,56.5,16.9,101.09,8.3
Robin Lopez,CHI,29,81,40,41,28,105.3,105.1,0.2,5.4,0.88,8.1,11.4,13.1,12.2,9.2,49.3,51.1,17.4,97.27,8.3
Leandro Barbosa,PHX,34,67,20,47,14.4,104.6,106.5,-1.8,12.8,1.69,15,1.8,10.6,6.2,8.9,48.3,50.9,20.7,101.15,8.3
Ian Mahinmi,WAS,30,31,19,12,17.9,104.3,104,0.3,5,0.56,9.6,9.8,20.4,15.2,17.3,58.6,60.1,14,98.9,8.2
Wayne Ellington,MIA,29,62,35,27,24.2,107.1,104.4,2.7,7,2.33,10.4,1.3,8.7,4.9,4.5,55,56.5,17.9,97.3,8.2
Georgios Papagiannis,SAC,19,22,7,15,16.1,104.3,110.5,-6.2,8.5,0.83,13.1,9,18.3,14.2,15.8,54.9,57.3,16.9,96.93,8.2
Eric Gordon,HOU,28,75,50,25,31,110.8,104.6,6.2,12.5,1.55,13.4,1.4,7.8,4.6,8.6,52.7,55.7,22,103.07,8.2
Jarell Eddie,PHX,25,5,0,5,12.5,89.8,93.1,-3.4,0,0,0,1.4,8.8,5,4.2,42.1,52.3,15.4,109.87,8.2
Adreian Payne,MIN,26,18,5,13,7.5,102.6,101.8,0.8,8.9,0.88,9,6.9,20,13.2,10.3,45.4,50.5,22.4,96.52,8.2
Marcus Smart,BOS,23,79,51,28,30.4,107.2,104.7,2.5,22.6,2.29,26.3,3.6,10.7,7.1,11.5,42.2,48.6,18.5,100.29,8.1
Tim Quarterman,POR,22,16,6,10,5,97.9,97.9,0,23.4,1,21,5.3,11.9,8.8,21,53.4,51.1,23.6,96.45,8.1
Jarrod Uthoff,DAL,24,9,2,7,12.7,95.2,122,-26.8,14.1,3,17,6.6,14.9,10.2,5.7,46.1,48.7,17.4,94.3,8.1
Reggie Bullock,DET,26,31,13,18,15.1,104.7,99.8,5,8.6,2.9,17.1,2.9,11.9,7.3,5.9,53.1,53.8,13.1,98.05,8.1
Kyle Korver,CLE,36,67,33,34,26.2,104.6,109.5,-4.9,9.3,1.59,15.4,0.5,11.4,6,9.7,62.1,63.5,15.1,100,8.1
Wesley Matthews,DAL,30,73,29,44,34.2,103.3,106.8,-3.5,13.8,2.06,17,0.8,11.7,6,8.2,49.6,53.3,19.6,94.04,8.1
Jodie Meeks,ORL,29,36,14,22,20.5,104.9,110.4,-5.4,8.9,1.25,12.2,0.7,11.4,5.9,9.7,51.2,56.7,19.6,100.24,8.1
Matt Barnes,GSW,37,74,38,36,24,104.3,106.9,-2.5,16.2,1.82,24,4.5,20,12.3,13.1,48.3,51.4,15.6,97.99,8.1
Gerald Green,BOS,31,47,32,15,11.4,107,105.7,1.3,10,1.32,10.7,3.2,14,8.5,8.1,49.4,52.4,22.9,98.76,8.1
Glenn Robinson III,IND,23,69,35,34,20.7,103.7,105.5,-1.9,4.8,1.27,10.3,4.6,14.4,9.7,8.1,54,56.4,12.9,98.72,8.1
Trey Burke,WAS,24,57,35,22,12.3,99.4,108.6,-9.2,23,2.08,24.1,1.2,6.5,3.8,11.5,51.6,53.2,20.5,96.37,8.1
Marcus Morris,DET,27,79,36,43,32.5,102.8,105.7,-2.8,9.5,1.84,12,3.1,12.7,7.7,6.5,47.7,50.8,20.2,97.01,8
Johnny O'Bryant III,CHA,24,11,4,7,7.3,105.6,120.8,-15.2,12.5,1,13.4,13,16.1,14.5,13.4,55,58.2,21.1,97.26,8
D.J. Augustin,ORL,29,78,29,49,19.7,94.6,109.6,-15.1,23.7,2.32,23.6,1,7.7,4.2,10.1,46.9,52.4,19.9,97.4,8
Tony Allen,MEM,35,71,36,35,27,105.6,104.4,1.2,8.3,0.98,11.5,9.5,13.9,11.6,11.8,47.3,49.3,18.1,93.85,8
Reggie Williams,NOP,30,6,1,5,13.2,89.2,109.5,-20.2,8.7,0,13.3,2.2,6.2,3.8,0,45.7,51.8,13.2,101.86,8
Marcus Georges-Hunt,ORL,23,5,2,3,9.5,89.8,114.9,-25,13,1.5,18.3,2.2,16.3,9.5,12.2,35.7,61.4,12.4,100.61,8
Alex Poythress,PHI,23,6,0,6,26.1,106.8,116.4,-9.6,5.2,1.67,7.5,7.3,13.7,10.3,4.5,51.9,54.8,16.6,99.21,7.9
PJ Tucker,TOR,32,81,35,46,27.6,104.9,106.1,-1.2,6.3,1.5,14.4,5.6,18.1,11.7,9.6,48.5,51.6,11.3,100,7.9
Ramon Sessions,CHA,31,50,23,27,16.2,103.4,108.2,-4.8,24,2.8,26.3,1.5,7.8,4.8,9.4,42,49.5,19.7,99.63,7.9
Jamal Crawford,LAC,37,82,51,31,26.3,106.7,108.4,-1.7,15.9,1.6,16.4,0.9,5.8,3.4,10.2,47.9,52.5,22.5,98.53,7.9
Jared Dudley,PHX,31,64,17,47,21.3,102.9,103.9,-1,12.6,1.66,21.3,2.4,15.6,8.9,12.8,56.5,57.9,13.8,103.23,7.9
Ryan Anderson,HOU,29,72,50,22,29.4,113.8,105.8,7.9,4.6,1.24,7.1,5.8,11.5,8.6,5.7,55,58.3,17.9,101.8,7.9
Kay Felder,CLE,22,42,25,17,9.2,101,106.5,-5.5,26.1,1.93,21.7,0.9,10.3,5.8,11.2,41.5,46.2,25.1,97.79,7.9
Shelvin Mack,UTA,27,55,34,21,21.9,105.1,104.8,0.3,21,1.71,23.4,2,9.9,6,13.7,49.5,51.8,19.5,93.44,7.9
Nemanja Bjelica,MIN,29,65,28,37,18.3,104.7,103.4,1.3,10.2,1.34,15.2,5.3,18.4,11.7,11.3,50.3,52.6,16.4,97.32,7.8
Raymond Felton,LAC,33,80,50,30,21.2,104.6,108.7,-4.1,17.2,2.3,23.4,2.1,11.8,7,10.2,47.5,49.6,16.6,97.95,7.8
Kentavious Caldwell-Pope,DET,24,76,33,43,33.3,103.7,107.7,-4,11.1,2.24,15,2.2,8.7,5.3,6.7,48.1,51.9,19.1,97.61,7.8
Terrence Ross,ORL,26,78,39,39,25.1,111.1,107.7,3.4,6.6,1.29,9.4,1,10.8,5.8,7.3,53.2,55,18.9,99.82,7.8
Fred VanVleet,TOR,23,37,25,12,7.9,103.6,91.5,12.1,18,2.33,20.5,1.5,13,7.5,8.8,40.1,44.3,20.5,97.63,7.8
Vince Carter,MEM,40,73,36,37,24.7,107.2,103.6,3.6,11.2,2.66,18.4,2.3,12.8,7.4,6.9,50.8,54.2,14.9,95.02,7.8
Jamal Murray,DEN,20,82,40,42,21.5,109.1,108.1,1,14.2,1.5,16,2.6,10.4,6.6,10.6,48.3,51.8,21.6,101.15,7.8
Courtney Lee,NYK,31,77,29,48,31.9,105.8,110.8,-4.9,10.4,2.59,18,2.3,9.2,5.7,6.9,53.3,55.9,14.5,97.86,7.7
Jose Calderon,ATL,35,41,15,26,13.1,95.7,105.4,-9.7,25.1,2.15,32.8,2.8,12.6,7.4,15.3,48.5,50.6,14.4,98.89,7.7
Luol Deng,LAL,32,56,18,38,26.5,102,108.4,-6.4,7.3,1.72,13,4.4,17.2,10.6,7.6,44.7,47,14.3,100.3,7.7
Jeff Green,ORL,30,69,26,43,22.2,97.5,106.6,-9.1,8.9,1.08,10.3,2.7,12.5,7.5,9.5,44.2,50.5,20.4,98.84,7.7
James Michael McAdoo,GSW,24,52,43,9,8.8,100.6,101.3,-0.7,6,0.95,10.4,8,12.9,10.5,11,53.8,54.3,14.9,99.46,7.7
Brian Roberts,CHA,31,41,16,25,10.1,99,106,-7,21.4,2,23.9,1.3,9.4,5.3,12,44.7,51,18.6,94.53,7.7
Davis Bertans,SAS,24,67,51,16,12.1,106,99.7,6.3,8.4,1.44,14.1,3.1,10.5,6.8,9.8,58.8,60.9,15.5,97.88,7.7
Mike Dunleavy,ATL,36,53,34,19,15.9,98.2,102.5,-4.3,9.7,1.79,15.7,2.4,12.4,7.4,8.8,54.3,57.3,14.1,98.53,7.7
Darrell Arthur,DEN,29,41,20,21,15.6,108.3,108.8,-0.4,9.9,1.17,13.9,4.3,15.5,9.8,11.9,56.5,58.3,18,99.85,7.7
Doug McDermott,OKC,25,66,35,31,22.8,105.5,108.6,-3.1,6,1.53,9.2,1.5,11.7,6.6,6,52.4,55.4,16.5,97.63,7.7
Sheldon McClellan,WAS,24,30,17,13,9.6,95.9,104.6,-8.7,7.8,3,14,1.5,11.5,6.4,4.7,44.7,51.8,14.3,97.56,7.7
Henry Ellenson,DET,20,19,8,11,7.7,101,103,-2,7.4,0.5,7.9,5.6,23.4,14.4,15.8,43.8,44.4,24.8,95.74,7.6
Trey Lyles,UTA,21,71,43,28,16.3,103.9,103,0.9,9.8,1.08,11.4,4.7,17.8,11.3,10.5,43.6,46.4,21.4,94.43,7.6
Cole Aldrich,MIN,28,62,23,39,8.6,107.3,107.5,-0.2,6.3,1.47,18.2,11,24.8,17.6,12.3,52.3,54.9,9.4,97.42,7.6
Dahntay Jones,CLE,36,1,0,1,12,113.8,109.5,4.3,20,1,8.5,7.7,9.1,8.3,8.5,37.5,46.1,41.4,85.92,7.6
KJ McDaniels,BKN,24,49,28,21,10.3,104.4,107.4,-3.1,4,0.45,5.7,3.3,14.3,8.9,12.7,51.5,55.5,18.5,100.37,7.6
David Nwaba,LAL,24,20,5,15,19.9,102.8,100.6,2.2,4.8,1.27,11.4,4.9,13.1,9,8.9,58.6,61.1,12,100.9,7.6
Nick Young,LAL,32,60,19,41,25.9,105.2,112.1,-6.9,5.7,1.61,7.6,1.7,8.1,4.7,4.7,56.4,58.8,19.5,100.59,7.5
Jameer Nelson,DEN,35,75,34,41,27.3,110.8,109.7,1.1,25.8,3.01,33.6,1.5,8.9,5.2,11.2,53.1,54.4,15.7,100.06,7.5
Patrick Patterson,TOR,28,65,42,23,24.6,113.4,102.5,10.9,6.6,2,14.5,4.5,16.2,10.4,7.2,52.3,54.2,12.5,97.3,7.5
Rodney Stuckey,IND,31,39,17,22,17.9,104.6,105.5,-0.9,18.4,1.58,19.6,1,12.5,6.7,12.4,41.2,48.3,22.2,96.83,7.5
Mindaugas Kuzminskas,NYK,27,68,24,44,14.9,104.2,105.4,-1.2,10.2,1.35,13.3,5,8.4,6.7,9.8,50.1,53.3,18.8,99.41,7.5
Dejounte Murray,SAS,20,38,29,9,8.5,103.2,100.3,2.9,23.6,1.26,22.3,2.3,11.7,7.4,17.7,47,50.3,24.1,96.05,7.5
Taurean Prince,ATL,23,59,28,31,16.6,97.6,98.4,-0.8,9.1,0.9,12.4,2.7,14.3,8.5,13.8,45.8,51.3,17.1,100.03,7.4
Emmanuel Mudiay,DEN,21,55,25,30,25.6,106.8,112.3,-5.5,22.2,1.76,22.5,2.3,11.6,7,12.8,42.8,48.3,22.4,101.93,7.4
Allen Crabbe,POR,25,79,39,40,28.5,106.1,108.9,-2.8,6.3,1.52,11,0.9,10.5,5.6,7.2,57.2,60.2,14.9,99.95,7.4
Kent Bazemore,ATL,27,73,39,34,26.9,102.9,105.2,-2.3,14,1.42,16.1,2.6,10,6.4,11.4,47.3,50.4,20.4,100.37,7.4
Derrick Williams,CLE,26,50,16,34,16.1,104.4,107.6,-3.2,5.4,1,8.3,2.6,15,8.9,8.3,50.4,53.7,17.7,96.49,7.4
Udonis Haslem,MIA,37,16,6,10,8.1,82.7,106.5,-23.8,9.4,0.75,13.8,6.3,25.5,15.3,18.3,47.8,52.4,13.1,98.53,7.3
E'Twaun Moore,NOP,28,73,32,41,24.9,104.3,106.6,-2.4,13.8,2.65,18.7,1.9,7,4.4,7.1,51.9,53.7,17.4,100.16,7.3
Anthony Tolliver,SAC,32,65,26,39,22.7,105.8,110.6,-4.8,7.7,1.38,14.8,4.1,14.8,9.4,10.8,57,59.5,13.5,97.77,7.3
Toney Douglas,MEM,31,24,15,9,16.4,107.4,107.7,-0.3,21.4,2.67,27.1,3.5,15.7,9,10.2,39.7,45.1,16.5,96.28,7.3
Shaun Livingston,GSW,31,76,63,13,17.7,107.7,100.2,7.6,14.6,2.24,25.6,2.5,9.5,6.2,11.4,54.9,56.8,13.5,98.4,7.3
Omer Asik,NOP,30,31,12,19,15.6,99.4,104.4,-4.9,4.4,1.07,13.5,10.1,25.2,17.5,12.6,47.7,51.7,8.8,99.64,7.3
John Lucas III,MIN,34,5,3,2,2.1,117.3,70.4,46.9,20,0,20,0,0,0,0,25,25,16.6,94.47,7.3
Noah Vonleh,POR,21,74,38,36,17.1,103,105.1,-2,3.6,0.48,7.6,11.1,22.4,16.7,15.7,49.4,52.5,13.1,98.18,7.3
Gerald Henderson,PHI,29,72,24,48,23.2,99.7,108.1,-8.4,10.8,1.81,14,2.2,10.4,6.2,7.8,47.8,52.9,17.9,100.88,7.3
Ryan Kelly,ATL,26,16,6,10,6.9,97.3,94.7,2.6,11.6,2,18.8,1,16.8,8.9,9.4,35.7,40.8,14.7,96.26,7.3
Briante Weber,CHA,24,20,12,8,10.3,102.3,113.2,-10.8,16.8,2.63,21.9,4.3,12.6,7.9,8.3,42.5,46.2,17.3,91.12,7.2
Chinanu Onuaku,HOU,20,5,2,3,10.3,98.6,140,-41.4,8.6,0.75,19,4.9,17,11.4,25.4,71.4,79.9,10.8,101.79,7.2
Nicolas Brussino,DAL,24,54,18,36,9.7,102.4,113.2,-10.8,14.4,1.81,21,5.3,16.5,10.5,11.6,47.2,49.8,15.3,94.91,7.2
Thon Maker,MIL,20,57,31,26,9.9,106.7,105.4,1.3,6.9,1.35,9.5,8.1,16.7,12.2,7,53.6,55.8,18.7,94,7.2
DeAndre' Bembry,ATL,22,38,20,18,9.8,100.1,103.4,-3.4,12.3,1.75,18.8,4.2,13.8,8.9,10.7,48.5,48.1,15,97.03,7.2
Timofey Mozgov,LAL,30,54,16,38,20.4,99.8,109,-9.2,6.1,0.6,9,9.7,16,12.7,15.1,51.5,55.3,17,99.38,7.2
DeMarre Carroll,TOR,30,72,44,28,26.1,109.5,106.3,3.3,5.6,1.37,10.1,3.8,12.6,8.3,7.4,49.9,53,15.6,96.82,7.1
