NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
"Josh McRoberts, PF",MIA,22,17.3,-2.87,-0.01,-2.88,0.06
"Jordan Hill, C",MIN,7,6.7,-2.31,1.16,-1.15,0.06
"Mike Scott, PF",ATL,18,10.8,-2.92,0.26,-2.66,0.06
"Jarell Eddie, SG",PHX,5,12.4,-2.31,0.62,-1.69,0.06
"Daniel Ochefu, PF",WSH,19,3.9,-2.35,0.55,-1.8,0.06
"Kris Dunn, PG",MIN,78,17.1,-2.64,-0.41,-3.05,0.06
"Wayne Selden, G",NO/MEM,14,16.9,-2.44,-0.28,-2.72,0.06
"Stephen Zimmerman, C",ORL,19,5.7,-2.79,0.57,-2.22,0.06
"C.J. Watson, PG",ORL,62,16.3,-2.41,-0.64,-3.05,0.05
"Ed Davis, PF",POR,46,17.2,-2.96,-0.06,-3.02,0.05
"Ramon Sessions, PG",CHA,50,16.2,-1.65,-1.4,-3.05,0.04
"Josh Huestis, SF",OKC,2,15.5,-1.97,0.83,-1.14,0.04
"Kyle Wiltjer, F",HOU,14,3.1,-2.54,0.57,-1.97,0.04
"Nicolas Laprovittola, G",SA,18,9.7,-1.52,-1.19,-2.71,0.04
"Bruno Caboclo, SF",TOR,9,4.4,-1.76,0.11,-1.65,0.04
"Chinanu Onuaku, F",HOU,5,10.4,-2.25,0.15,-2.1,0.04
"Tim Quarterman, SG",POR,16,5,-1.95,-0.4,-2.35,0.04
"Boris Diaw, C",UTAH,73,17.6,-2.58,-0.5,-3.08,0.03
"Jarrett Jack, PG",NO,2,16.5,-1.85,0.01,-1.84,0.03
"Ronnie Price, PG",PHX,14,9.6,-2.24,-0.53,-2.77,0.03
"Greivis Vasquez, PG",BKN,3,13,-1.77,-0.38,-2.15,0.03
"Timofey Mozgov, C",LAL,54,20.4,-4.02,0.93,-3.09,0.03
"Lamar Patterson, SG",ATL,5,8,-2.23,0.62,-1.61,0.03
"Mike Tobey, C",CHA,2,12.5,-1.91,0.99,-0.92,0.03
"Georges Niang, F",IND,23,4,-2.99,0.37,-2.62,0.03
"Jordan Mickey, PF",BOS,25,5.6,-2.62,-0.15,-2.77,0.03
"Jerryd Bayless, PG",PHI,3,23.7,-2.23,-0.47,-2.7,0.02
"Bobby Brown, PG",HOU,25,4.9,-1.69,-1.18,-2.87,0.02
"Michael Gbinije, SG",DET,9,3.6,-2.17,-0.17,-2.34,0.02
"Pierre Jackson, PG",DAL,8,10.5,-0.96,-0.76,-1.72,0.02
"Jake Layman, F",POR,35,7.1,-2.99,-0.03,-3.02,0.02
"Jarell Martin, PF",MEM,42,13.3,-4.23,1.17,-3.06,0.02
"Isaiah Whitehead, G",BKN,73,22.5,-1.95,-1.16,-3.11,0.02
"Dahntay Jones, SG",CLE,1,12,-1.68,-0.38,-2.06,0.01
"John Lucas III, PG",MIN,5,2.2,-1.3,-0.61,-1.91,0.01
"Norris Cole, PG",OKC,13,9.6,-2.56,-0.48,-3.04,0.01
"Quincy Acy, SF",DAL/BKN,38,14.7,-2.38,-0.21,-2.59,0.01
"CJ Wilcox, SG",ORL,22,4.9,-2.55,-0.4,-2.95,0.01
"Quinn Cook, PG",NO/DAL,14,13.4,-1.44,-1.38,-2.82,0.01
"Jarrod Uthoff, SF",DAL,9,12.8,-2.29,-0.76,-3.05,0.01
"Brice Johnson, F",LAC,3,3,-2.32,1.08,-1.24,0.01
"R.J. Hunter, SG",CHI,3,3,-1.38,-0.73,-2.11,0.01
"Demetrius Jackson, G",BOS,5,3.4,-1.77,-0.3,-2.07,0.01
"Aaron Harrison, SG",CHA,5,3.4,-1.42,-0.32,-1.74,0.01
"Ben Bentil, PF",DAL,3,3.3,-1.95,0.65,-1.3,0.01
"Diamond Stone, C",LAC,7,3.4,-2.77,0.49,-2.28,0.01
"Patricio Garino, SG",ORL,5,8.6,-2.61,-0.4,-3.01,0
"Danuel House Jr., PF",WSH,1,1,-1.76,-0.04,-1.8,0
"Isaiah Taylor, PG",HOU,4,13,-2.19,-0.9,-3.09,0
"Deyonta Davis, F",MEM,36,6.6,-2.88,-0.24,-3.12,0
"Briante Weber, PG",GS/CHA,20,10.3,-2.02,-1.29,-3.31,-0.02
"Damjan Rudez, SF",ORL,45,7,-2.38,-0.9,-3.28,-0.03
"Cheick Diallo, F",NO,17,11.7,-2.54,-0.85,-3.39,-0.03
"Donatas Motiejunas, PF",NO,34,14.1,-2.51,-0.74,-3.25,-0.04
"Marcelo Huertas, PG",LAL,23,10.3,-2.17,-1.25,-3.42,-0.05
"DeAndre' Bembry, SF",ATL,38,9.8,-2.72,-0.67,-3.39,-0.05
"Ron Baker, SG",NY,52,16.5,-2.68,-0.56,-3.24,-0.06
"Ivica Zubac, C",LAL,38,16,-3.04,-0.26,-3.3,-0.07
"Joe Young, PG",IND,33,4.1,-2.64,-1.42,-4.06,-0.08
"Aaron Brooks, PG",IND,65,13.8,-1.81,-1.47,-3.28,-0.09
"Buddy Hield, SG",NO/SAC,82,23,-0.92,-2.28,-3.2,-0.09
"Alan Anderson, SG",LAC,30,10.3,-2.62,-1.04,-3.66,-0.1
"Alec Burks, SG",UTAH,42,15.5,-2.47,-0.94,-3.41,-0.12
"Troy Williams, SF",HOU/MEM,30,18.6,-3.06,-0.45,-3.51,-0.14
"Brian Roberts, PG",CHA,41,10.1,-2.62,-1.07,-3.69,-0.15
"Jonathan Gibson, PG",DAL,17,13.6,-1.95,-2.16,-4.11,-0.15
"Jamal Crawford, SG",LAC,82,26.3,-0.06,-3.18,-3.24,-0.16
"Pascal Siakam, F",TOR,55,15.6,-3.93,0.49,-3.44,-0.17
"Darrun Hilliard, SG",DET,39,9.8,-3.2,-0.69,-3.89,-0.18
"Lavoy Allen, PF",IND,61,14.3,-2.56,-0.91,-3.47,-0.19
"Jeff Green, SF",ORL,69,22.2,-2.03,-1.31,-3.34,-0.21
"Jaylen Brown, F",BOS,78,17.2,-2.95,-0.42,-3.37,-0.21
"Bryn Forbes, SG",SA,36,7.9,-2.78,-1.62,-4.4,-0.22
"Andrew Nicholson, PF",BKN/WSH,38,9,-3.54,-0.67,-4.21,-0.23
"Jordan McRae, SG",CLE,37,10.4,-2.19,-1.87,-4.06,-0.23
"Paul Zipser, SG",CHI,44,19.2,-3.37,-0.19,-3.56,-0.23
"Kay Felder, PG",CLE,42,9.2,-3.39,-0.85,-4.24,-0.28
"Dragan Bender, PF",PHX,43,13.3,-3.2,-0.68,-3.88,-0.28
"Chandler Parsons, SF",MEM,34,19.9,-3.51,-0.33,-3.84,-0.29
"Kevin Seraphin, C",IND,49,11.4,-2.94,-1.07,-4.01,-0.31
"Justise Winslow, SF",MIA,18,34.7,-4.08,0.16,-3.92,-0.31
"Rashad Vaughn, SG",MIL,41,11.2,-3.44,-0.89,-4.33,-0.35
"Reggie Jackson, PG",DET,52,27.4,-0.59,-2.94,-3.53,-0.36
"Nicolas Brussino, SF",DAL,54,9.6,-2.42,-1.82,-4.24,-0.36
"Isaiah Canaan, PG",CHI,39,15.2,-3,-1.12,-4.12,-0.37
"Cameron Payne, PG",CHI/OKC,31,14.9,-4.14,-0.31,-4.45,-0.39
"Derrick Williams, PF",CLE/MIA,50,16.1,-2.66,-1.25,-3.91,-0.4
"Brandon Rush, SG",MIN,47,21.9,-3.13,-0.73,-3.86,-0.48
"Justin Anderson, SG",DAL/PHI,75,16.4,-1.36,-2.54,-3.9,-0.59
"Shabazz Muhammad, SF",MIN,78,19.4,-0.56,-3.19,-3.75,-0.6
"Marcus Thornton, SG",WSH,33,17.4,-1.64,-3.31,-4.95,-0.66
"Wade Baldwin IV, PG",MEM,33,12.3,-4.36,-1.43,-5.79,-0.67
"Emmanuel Mudiay, PG",DEN,55,25.6,-1.52,-2.38,-3.9,-0.71
"Marquese Chriss, F",PHX,82,21.3,-1.96,-1.82,-3.78,-0.76
"Joe Harris, SG",BKN,52,21.9,-2.46,-1.73,-4.19,-0.82
"Randy Foye, SG",BKN,69,18.6,-2.7,-1.42,-4.12,-0.85
"Tyler Ulis, G",PHX,61,18.4,-2.03,-2.23,-4.26,-0.86
"Gerald Henderson, SG",PHI,72,23.2,-1.51,-2.42,-3.93,-0.87
"Lance Thomas, SF",NY,46,21,-2.87,-1.73,-4.6,-0.91
"Trey Burke, PG",WSH,57,12.3,-2.15,-3.09,-5.24,-0.92
"Ben McLemore, SG",SAC,61,19.3,-2.88,-1.58,-4.46,-0.99
"Bojan Bogdanovic, SG",BKN/WSH,81,25.7,-0.46,-3.42,-3.88,-1.04
"Patrick McCaw, G",GS,71,15.1,-3.09,-1.57,-4.66,-1.1
"Arron Afflalo, SG",SAC,61,25.9,-1.43,-2.85,-4.28,-1.12
"Doug McDermott, SF",CHI/OKC,66,22.8,-0.61,-3.92,-4.53,-1.33
"Jordan Clarkson, PG",LAL,82,29.2,-0.63,-3.39,-4.02,-1.4
"Semaj Christon, PG",OKC,64,15.2,-3.76,-1.69,-5.45,-1.4
"Jerami Grant, SF",PHI/OKC,80,19.1,-2.42,-2.29,-4.71,-1.56
"Brandon Knight, PG",PHX,54,21.1,-2.24,-3.08,-5.32,-1.63
"D.J. Augustin, PG",ORL,78,19.7,-1.53,-3.4,-4.93,-1.74
"Jahlil Okafor, C",PHI,50,22.7,-4.43,-1.26,-5.69,-1.85
"Mario Hezonja, SG",ORL,65,14.8,-4.4,-2.2,-6.6,-2.09
"Brandon Ingram, F",LAL,79,28.8,-1.76,-2.93,-4.69,-2.32
